"sha256","group_file_count","bytes_per_copy","potential_duplicate_bytes_beyond_one_copy","relative_path"
"1F3A5EE53285EA4B7F495F81F9FDB629BAC100F5AECBA8361739FE6D996BEE39","2","764764","764764","Candidate/PressTrains/TrainA/Meshy6SupportingSystemsProduction_v638/04_S05SlugCollectionSystem/Original/front.png"
"1F3A5EE53285EA4B7F495F81F9FDB629BAC100F5AECBA8361739FE6D996BEE39","2","764764","764764","Candidate/PressTrains/TrainA/MeshySupportingSystemsReferences_v634/Asset04_S05SlugCollectionSystem/front.png"
"2119A210FFAAD42A255D93DF32FE745264F3C1B1A104B41CF38D2FF8563F34FE","2","418912","418912","Candidate/PressTrains/TrainA/Meshy6SupportingSystemsProduction_v641/03_LargeTrimScrapBin/Original/rear.png"
"2119A210FFAAD42A255D93DF32FE745264F3C1B1A104B41CF38D2FF8563F34FE","2","418912","418912","Candidate/PressTrains/TrainA/MeshySupportingSystemsReferences_v634/Asset09A_LargeStillage/rear.png"
"22299C133D03151B56E161B84CA45F43FD6C03EC9D73AE925D3D23920F8AA75C","2","54133","54133","PR009/AutomatedBlankStacker/Candidate_v002/PR009_Audits/v002/PR009_FBX_EXPORT_MANIFEST_v002.json"
"22299C133D03151B56E161B84CA45F43FD6C03EC9D73AE925D3D23920F8AA75C","2","54133","54133","PR009/AutomatedBlankStacker/Candidate_v002/PR009_Audits/v002/repro_build_a_export_manifest.tmp.json"
"2347A8726386D849ED0679A3FDFD16AB10EED6E67D5E3288EDC9C3B95B5E35F8","2","832673","832673","Candidate/PressTrains/TrainA/Meshy6SupportingSystemsProduction_v638/01_S01DestackBlankFeed/Original/front.png"
"2347A8726386D849ED0679A3FDFD16AB10EED6E67D5E3288EDC9C3B95B5E35F8","2","832673","832673","Candidate/PressTrains/TrainA/MeshySupportingSystemsReferences_v634/Asset01_S01DestackBlankFeed/front.png"
"241A9EAF971543E72C5297145E619FFC3DF4641E6FF2D4951B101AC985A36579","4","4427","13281","ControlRoom/MainControlRoom_v004/documentation/material_schedule.json"
"241A9EAF971543E72C5297145E619FFC3DF4641E6FF2D4951B101AC985A36579","4","4427","13281","ControlRoom/MainControlRoom_v005/documentation/material_schedule.json"
"241A9EAF971543E72C5297145E619FFC3DF4641E6FF2D4951B101AC985A36579","4","4427","13281","ControlRoom/MainControlRoom_v006/documentation/material_schedule.json"
"241A9EAF971543E72C5297145E619FFC3DF4641E6FF2D4951B101AC985A36579","4","4427","13281","ControlRoom/MainControlRoom_v034/documentation/material_schedule.json"
"262DFB6476AE182D93C4732BFEBBA7D0FB75621567B7BF0473027DE7F8F8FA8F","2","654275","654275","Candidate/PressTrains/TrainA/Meshy6SupportingSystemsProduction_v638/04_S05SlugCollectionSystem/Original/left.png"
"262DFB6476AE182D93C4732BFEBBA7D0FB75621567B7BF0473027DE7F8F8FA8F","2","654275","654275","Candidate/PressTrains/TrainA/MeshySupportingSystemsReferences_v634/Asset04_S05SlugCollectionSystem/left.png"
"27260A896D37A331223C8BC961711C68136FFDCF3CA63C671A0EA3FBA98F2685","2","825826","825826","Candidate/PressTrains/TrainA/Meshy6SupportingSystemsProduction_v641/02_HydraulicPowerUnit/Original/rear.png"
"27260A896D37A331223C8BC961711C68136FFDCF3CA63C671A0EA3FBA98F2685","2","825826","825826","Candidate/PressTrains/TrainA/MeshySupportingSystemsReferences_v634/Asset07_HydraulicPowerUnit/rear.png"
"27EC69F625380A95EF975F197944F4898B5539CEC8A87A7521A891F308572561","2","2504240","2504240","ReferencePacks/LB_CR01_SHARED_ROBOT_PLATFORM_BUILD_PACK_v1.0/references/Press_Shop_revised_master_plan.png"
"27EC69F625380A95EF975F197944F4898B5539CEC8A87A7521A891F308572561","2","2504240","2504240","ReferencePacks/LB_MR01_SHARED_PLATFORM_BUILD_PACK_v1.0/references/Press_Shop_revised_master_plan.png"
"2C47869F09F76EFABA767E55869CDA3DB707D2AD4536219648513D40D94503A7","2","297345","297345","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/03_LowerDie/Original/right.png"
"2C47869F09F76EFABA767E55869CDA3DB707D2AD4536219648513D40D94503A7","2","297345","297345","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Prepared/Meshy6Views_v645/03_LowerDie/right.png"
"2DA9EF65379884CEBCADC7ABE25E3E4559F710CE62AC5B6DB1EAC19D56130B6F","2","3172","3172","Reference/PressShop/RemainingMachineryPack_v1.0/CAIRNWELL_PRESS_SHOP_REMAINING_MACHINERY_PACK_v1.0/PACK_MANIFEST_SHA256.csv"
"2DA9EF65379884CEBCADC7ABE25E3E4559F710CE62AC5B6DB1EAC19D56130B6F","2","3172","3172","ReferencePacks/CAIRNWELL_PRESS_SHOP_REMAINING_MACHINERY_PACK_v1.0/PACK_MANIFEST_SHA256.csv"
"2E3203A238C78C8F1492F034E942E9DEF18E10B3C8DF42ED05C179ADC71C3A52","2","1299784","1299784","Reference/PressShop/RemainingMachineryPack_v1.0/CAIRNWELL_PRESS_SHOP_REMAINING_MACHINERY_PACK_v1.0/visuals/SHEET_08_PRESS_TRAIN_D_4K.png"
"2E3203A238C78C8F1492F034E942E9DEF18E10B3C8DF42ED05C179ADC71C3A52","2","1299784","1299784","ReferencePacks/CAIRNWELL_PRESS_SHOP_REMAINING_MACHINERY_PACK_v1.0/visuals/SHEET_08_PRESS_TRAIN_D_4K.png"
"2F0EFDA8FDE0800E8F209AA2E49788A7798309E5CA2FBA4DDA0134B8C863496F","2","420466","420466","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/06_FixedSafetyFence/Original/front.png"
"2F0EFDA8FDE0800E8F209AA2E49788A7798309E5CA2FBA4DDA0134B8C863496F","2","420466","420466","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Prepared/Meshy6Views_v645/06_FixedSafetyFence/front.png"
"2F1BE31BCABD677FBED92F91C199E6ABE8288BEA8A621EF563D051B432D4B7F6","5","640","2560","SharedSystems/CleaningAMR/Candidate_v010/validation.json"
"2F1BE31BCABD677FBED92F91C199E6ABE8288BEA8A621EF563D051B432D4B7F6","5","640","2560","SharedSystems/CleaningAMR/Candidate_v011/dimension_validation.json"
"2F1BE31BCABD677FBED92F91C199E6ABE8288BEA8A621EF563D051B432D4B7F6","5","640","2560","SharedSystems/CleaningAMR/Candidate_v012/dimension_validation.json"
"2F1BE31BCABD677FBED92F91C199E6ABE8288BEA8A621EF563D051B432D4B7F6","5","640","2560","SharedSystems/CleaningAMR/Candidate_v013/dimension_validation.json"
"2F1BE31BCABD677FBED92F91C199E6ABE8288BEA8A621EF563D051B432D4B7F6","5","640","2560","SharedSystems/CleaningAMR/Candidate_v014/dimension_validation.json"
"2F3C3EAE6002026E23B26B61A0111A841C37A655AEE96D42737F48613244ECF8","2","5959","5959","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/04_LeftAccessDoor/task_complete.json"
"2F3C3EAE6002026E23B26B61A0111A841C37A655AEE96D42737F48613244ECF8","2","5959","5959","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/04_LeftAccessDoor/task_latest.json"
"2FDB70BDCC316CF9D69373CB7BE7B397C8A29959AE018AB3EFDAF2619E7784E7","2","517455","517455","Candidate/PressTrains/TrainA/Meshy6SupportingSystemsProduction_v641/01_DieChangeCart/Original/left.png"
"2FDB70BDCC316CF9D69373CB7BE7B397C8A29959AE018AB3EFDAF2619E7784E7","2","517455","517455","Candidate/PressTrains/TrainA/MeshySupportingSystemsReferences_v634/Asset06_DieChangeCart/left.png"
"30A99AD58AF6CC3FF319D16EF69630AFFDE08756CBB5844BF0CB34FC0827B880","2","445999","445999","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Generated/Meshy6_v646/10_FlywheelHousing/Original/front.png"
"30A99AD58AF6CC3FF319D16EF69630AFFDE08756CBB5844BF0CB34FC0827B880","2","445999","445999","Candidate/PressTrains/Shared/MeshyIsolatedIntake_v625/Prepared/Meshy6Views_v645/10_FlywheelHousing/front.png"
